ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000425.SZ,20200730,6.42,6.54,6.35,6.37,6.42,-0.05,-0.7788,805792.49,518320.599
000425.SZ,20200729,6.28,6.42,6.18,6.42,6.3,0.12,1.9048,959854.71,607584.594
000425.SZ,20200728,6.39,6.43,6.27,6.3,6.38,-0.08,-1.2539,808665.18,512891.904
000425.SZ,20200727,6.33,6.41,6.28,6.38,6.32,0.06,0.9494,846798.04,537909.963
000425.SZ,20200724,6.63,6.74,6.24,6.32,6.68,-0.36,-5.3892,1773000.96,1145783.479
000425.SZ,20200723,6.75,6.86,6.54,6.68,6.85,-0.17,-2.4818,2035572.13,1355214.591
000425.SZ,20200722,7.07,7.07,6.82,6.85,7.05,-0.2,-2.8369,1770048.49,1221218.776
000425.SZ,20200721,7.0,7.08,6.82,7.05,6.99,0.06,0.8584,1645536.35,1142438.781
000425.SZ,20200720,6.55,7.01,6.53,6.99,6.48,0.51,7.8704,2089225.99,1428226.486
000425.SZ,20200717,6.49,6.64,6.32,6.48,6.48,0.0,0.0,1347919.71,875135.325
000425.SZ,20200716,6.93,6.97,6.41,6.48,6.88,-0.4,-5.814,2189147.99,1460517.517
000425.SZ,20200715,6.85,7.15,6.77,6.88,6.75,0.13,1.9259,2874417.58,1996097.808
000425.SZ,20200714,6.87,6.98,6.6,6.75,6.87,-0.12,-1.7467,2138881.29,1448367.718
000425.SZ,20200713,6.34,6.9,6.33,6.87,6.33,0.54,8.5308,2967535.89,1990119.55
000425.SZ,20200710,6.54,6.58,6.29,6.33,6.58,-0.25,-3.7994,1691123.31,1084747.166
000425.SZ,20200709,6.45,6.58,6.35,6.58,6.45,0.13,2.0155,1908738.75,1229698.886
000425.SZ,20200708,6.34,6.47,6.28,6.45,6.41,0.04,0.624,1495029.1,954689.084
000425.SZ,20200707,6.49,6.69,6.39,6.41,6.45,-0.04,-0.6202,2004006.44,1298555.057
000425.SZ,20200706,6.33,6.48,6.27,6.45,6.23,0.22,3.5313,1746788.3,1116345.51
000425.SZ,20200703,6.26,6.34,6.16,6.23,6.24,-0.01,-0.1603,1429078.32,892243.936
000425.SZ,20200702,6.11,6.34,6.1,6.3,6.16,0.14,2.2727,1534898.24,961182.008
000425.SZ,20200701,5.93,6.18,5.92,6.16,5.91,0.25,4.2301,1581573.63,963817.872
000425.SZ,20200630,5.88,5.94,5.87,5.91,5.86,0.05,0.8532,512823.0,303108.383
000425.SZ,20200629,6.0,6.03,5.85,5.86,5.88,-0.02,-0.3401,672136.31,396439.515
000425.SZ,20200624,5.84,5.9,5.81,5.88,5.83,0.05,0.8576,565622.97,331684.65
000425.SZ,20200623,5.9,5.9,5.81,5.83,5.9,-0.07,-1.1864,837452.42,489084.512
000425.SZ,20200622,6.05,6.05,5.89,5.9,6.06,-0.16,-2.6403,1223434.32,727476.083
000425.SZ,20200619,6.04,6.09,6.0,6.06,6.06,0.0,0.0,703787.92,424676.93
000425.SZ,20200618,6.06,6.09,6.0,6.06,6.06,0.0,0.0,493629.72,298605.705
000425.SZ,20200617,6.13,6.14,6.01,6.06,6.13,-0.07,-1.1419,731245.12,442108.117
000425.SZ,20200616,5.96,6.14,5.96,6.13,5.94,0.19,3.1987,972360.18,591196.545
000425.SZ,20200615,5.99,6.02,5.92,5.94,6.04,-0.1,-1.6556,729644.53,435548.694
000425.SZ,20200612,5.97,6.04,5.94,6.04,6.11,-0.07,-1.1457,900459.15,539811.664
000425.SZ,20200611,6.2,6.29,6.07,6.11,6.18,-0.07,-1.1327,1276587.99,789061.35
000425.SZ,20200610,5.97,6.2,5.92,6.18,5.97,0.21,3.5176,1385667.04,845280.794
000425.SZ,20200609,5.95,6.04,5.91,5.97,5.91,0.06,1.0152,722875.81,431567.934
000425.SZ,20200608,5.95,6.02,5.87,5.91,5.92,-0.01,-0.1689,660939.91,392727.804
000425.SZ,20200605,5.91,5.93,5.83,5.92,5.93,-0.01,-0.1686,663038.26,389857.981
000425.SZ,20200604,6.05,6.06,5.9,5.93,6.04,-0.11,-1.8212,882593.04,524494.434
000425.SZ,20200603,6.11,6.25,6.02,6.04,6.09,-0.05,-0.821,1388493.63,852816.498
000425.SZ,20200602,6.05,6.13,5.99,6.09,6.02,0.07,1.1628,1062688.29,643735.279
000425.SZ,20200601,5.9,6.05,5.89,6.02,5.87,0.15,2.5554,1201187.92,718530.807
000425.SZ,20200529,5.84,5.91,5.8,5.87,5.84,0.03,0.5137,702227.09,410709.052
000425.SZ,20200528,5.84,5.91,5.75,5.84,5.87,-0.03,-0.5111,602990.6,352195.83
000425.SZ,20200527,6.1,6.1,5.8,5.87,6.1,-0.23,-3.7705,1537112.31,909695.466
000425.SZ,20200526,6.15,6.21,6.04,6.1,6.15,-0.05,-0.813,1097743.67,669448.312
000425.SZ,20200525,6.01,6.17,5.88,6.15,6.01,0.14,2.3295,1229349.7,741535.404
000425.SZ,20200522,6.06,6.17,5.91,6.01,6.04,-0.03,-0.4967,1181481.04,713310.007
