date,open,high,close,low,volume,chg,%chg,ma5,ma10,ma20,vma5,vma10,vma20,turnover
2019-03-14,757.000,785.000,778.000,754.000,62172.56,24.000,3.18,759.003,759.003,759.003,"51,747.98","51,747.98","51,747.98",0.49
2019-03-18,778.800,814.530,810.090,777.000,81318.80,32.790,4.22,772.880,772.880,772.880,"57,792.69","57,792.69","57,792.69",0.65
2019-04-02,859.990,859.990,850.000,836.060,53227.05,-9.000,-1.05,831.658,807.944,796.028,"61,093.95","47,454.42","50,258.91",0.42
2019-04-03,840.120,851.740,844.500,834.210,43056.80,-5.500,-0.65,842.858,813.114,798.879,"61,143.84","48,648.35","49,835.26",0.34
2019-04-04,840.000,865.800,865.000,836.200,55772.36,20.500,2.43,854.498,821.039,802.553,"60,784.96","50,968.26","50,165.10",0.44
2019-04-08,900.000,908.000,900.200,890.120,66251.93,35.200,4.07,863.740,831.659,807.692,"55,848.55","54,541.70","51,011.77",0.53
2019-04-09,903.000,908.200,905.000,892.510,47989.80,4.800,0.53,872.940,844.599,812.558,"53,259.59","55,613.64","50,860.67",0.38
2019-04-10,903.000,951.900,947.990,900.000,67814.38,42.990,4.75,892.538,862.098,822.707,"56,177.05","58,635.50","51,625.89",0.54
2019-04-11,948.000,950.000,925.200,905.550,61102.54,-22.790,-2.40,908.678,875.768,831.267,"59,786.20","60,465.02","52,652.95",0.49
2019-04-12,909.000,919.990,914.000,900.010,48612.17,-11.200,-1.21,918.478,886.488,838.067,"58,354.16","59,569.56","51,974.93",0.39
2019-04-15,931.000,939.000,907.000,907.000,45522.64,-7.000,-0.77,919.838,891.789,844.552,"54,208.31","55,028.43","51,631.03",0.36
2019-04-16,904.900,939.900,939.900,901.220,46423.44,32.900,3.63,926.818,899.879,851.042,"53,895.03","53,577.31","49,886.26",0.37
2019-04-17,938.000,955.510,952.000,925.000,40761.02,12.100,1.29,927.620,910.079,859.012,"48,484.36","52,330.71","49,892.57",0.32
2019-04-18,945.410,954.680,945.500,936.220,19598.52,-6.500,-0.68,931.680,920.179,866.647,"40,183.56","49,984.88","49,316.62",0.16
2019-04-19,943.960,960.950,952.560,931.310,32379.78,7.060,0.75,939.392,928.935,874.987,"36,937.08","47,645.62","49,306.94",0.26
