date,open,high,close,low,volume,chg,%chg,ma5,ma10,ma20,vma5,vma10,vma20,turnover
2019-03-14,14.480,14.720,14.210,13.950,1067381.50,-0.470,-3.20,14.897,14.897,14.897,"1,682,988.96","1,682,988.96","1,682,988.96",4.00
2019-03-18,14.200,14.200,13.880,13.280,1763404.00,-0.500,-3.48,14.590,14.590,14.590,"1,555,128.33","1,555,128.33","1,555,128.33",6.61
2019-04-02,15.030,15.190,14.760,14.700,1437312.12,-0.160,-1.07,14.276,14.223,14.315,"1,264,121.31","1,381,769.76","1,423,713.46",5.39
2019-04-03,14.650,15.690,15.650,14.610,1886496.00,0.890,6.03,14.626,14.425,14.394,"1,417,569.96","1,442,428.51","1,450,935.96",7.07
2019-04-04,15.700,15.850,15.500,15.390,1600914.12,-0.150,-0.96,15.006,14.571,14.455,"1,548,601.07","1,442,863.98","1,459,268.08",6.00
2019-04-08,15.850,15.980,14.700,14.660,1863817.25,-0.800,-5.16,15.106,14.580,14.468,"1,696,229.37","1,436,345.36","1,480,560.14",6.99
2019-04-09,14.660,14.950,14.700,14.410,1039260.38,0.000,0.00,15.062,14.613,14.480,"1,565,559.97","1,383,535.23","1,458,495.15",3.90
2019-04-10,14.520,14.520,14.100,13.900,1567525.50,-0.600,-4.08,14.930,14.603,14.395,"1,591,602.65","1,427,861.98","1,420,685.15",5.88
2019-04-11,14.070,14.090,13.760,13.660,1063145.38,-0.340,-2.41,14.552,14.589,14.349,"1,426,932.53","1,422,251.24","1,390,949.43",3.98
2019-04-12,13.890,14.050,14.000,13.760,820011.81,0.240,1.74,14.252,14.629,14.338,"1,270,752.06","1,409,676.57","1,378,580.94",3.07
2019-04-15,14.260,14.450,13.910,13.870,1047929.12,-0.090,-0.64,14.094,14.600,14.315,"1,107,574.44","1,401,901.91","1,382,813.86",3.93
2019-04-16,13.780,14.450,14.440,13.510,1253979.50,0.530,3.81,14.042,14.552,14.343,"1,150,518.26","1,358,039.12","1,357,342.64",4.70
2019-04-17,14.500,14.980,14.470,14.410,1554159.25,0.030,0.21,14.116,14.523,14.373,"1,147,845.01","1,369,723.83","1,375,746.79",5.83
2019-04-18,14.370,14.370,14.120,14.000,923383.75,-0.350,-2.42,14.188,14.370,14.398,"1,119,892.69","1,273,412.61","1,357,920.56",3.46
2019-04-19,14.160,14.450,14.450,14.030,854488.81,0.330,2.34,14.278,14.265,14.418,"1,126,788.09","1,198,770.08","1,320,817.03",3.20
2019-04-22,14.480,14.520,14.050,13.980,924050.94,-0.400,-2.77,14.306,14.200,14.390,"1,102,012.45","1,104,793.44","1,270,569.40",3.46
2019-04-23,14.160,14.170,13.780,13.740,769369.06,-0.270,-1.92,14.174,14.108,14.361,"1,005,090.36","1,077,804.31","1,230,669.77",2.88
2019-04-24,13.830,14.130,14.030,13.450,1127780.38,0.250,1.81,14.086,14.101,14.352,"919,814.59","1,033,829.80","1,230,845.89",4.23
2019-04-25,13.840,13.930,13.410,13.400,827591.06,-0.620,-4.42,13.944,14.066,14.328,"900,656.05","1,010,274.37","1,216,262.81",3.10
2019-04-26,12.070,12.070,12.070,12.070,103402.00,-1.340,-9.99,13.468,13.873,14.251,"750,438.69","938,613.39","1,174,144.98",0.39
2019-05-09,10.860,10.860,10.860,10.860,17714.00,-1.210,-10.03,12.830,13.568,14.084,"569,171.30","835,591.88","1,118,746.89",0.07
2019-05-10,9.770,9.770,9.770,9.770,49713.00,-1.090,-10.04,12.028,13.101,13.827,"425,240.09","715,165.23","1,036,602.17",0.19
2019-05-13,9.010,9.310,8.790,8.790,3424619.75,-0.980,-10.03,10.980,12.533,13.528,"884,607.96","902,211.28","1,135,967.55",12.84
2019-05-14,8.400,8.550,8.220,8.020,3408699.50,-0.570,-6.49,9.942,11.943,13.157,"1,400,829.65","1,150,742.85","1,212,077.73",12.78
2019-05-15,8.250,8.370,8.370,8.070,2314693.50,0.150,1.82,9.202,11.335,12.800,"1,843,087.95","1,296,763.32","1,247,766.70",8.68
2019-05-16,8.260,8.670,8.480,8.130,2461863.25,0.110,1.31,8.726,10.778,12.489,"2,331,917.80","1,450,544.55","1,277,669.00",9.23
2019-05-17,8.390,8.870,8.480,8.340,2514929.50,0.000,0.00,8.468,10.248,12.178,"2,824,961.10","1,625,100.59","1,351,452.45",9.43
2019-05-20,8.170,8.350,7.720,7.630,2299492.50,-0.760,-8.96,8.254,9.617,11.859,"2,599,935.65","1,742,271.81","1,388,050.80",8.62
2019-05-21,7.900,8.490,8.490,7.790,2146051.00,0.770,9.97,8.308,9.125,11.596,"2,347,405.95","1,874,117.80","1,442,196.08",8.04
2019-05-22,8.490,8.660,8.250,8.170,2001315.00,-0.240,-2.83,8.284,8.743,11.308,"2,284,730.25","2,063,909.10","1,501,261.24",7.50
2019-05-23,8.180,8.570,8.150,8.030,1630445.88,-0.100,-1.21,8.218,8.472,11.020,"2,118,446.78","2,225,182.29","1,530,387.08",6.11
2019-05-24,8.030,8.150,8.000,7.750,1263370.62,-0.150,-1.84,8.122,8.295,10.698,"1,868,135.00","2,346,548.05","1,530,856.64",4.74
2019-05-27,8.000,8.340,8.270,7.840,1487217.12,0.270,3.38,8.232,8.243,10.388,"1,705,679.92","2,152,807.79","1,527,509.53",5.57
