date,high,low
2020-01-06,38.750,36.800
2020-01-07,38.520,37.600
2020-01-08,38.250,37.310
2020-01-09,40.290,37.580
2020-01-10,40.580,39.570
2020-01-13,41.900,39.400
2020-01-14,43.180,41.590
2020-01-15,43.700,41.490
2020-01-16,43.300,42.460
2020-01-17,43.140,41.490
2020-01-20,44.280,41.810
2020-01-21,44.300,43.100
2020-01-22,47.530,42.680
2020-01-23,46.870,44.100
2020-02-03,42.640,40.640
2020-02-04,44.560,41.510
2020-02-05,46.980,44.000
2020-02-06,45.250,43.150
2020-02-07,43.900,42.100
2020-02-10,43.340,41.180
2020-02-11,46.340,42.800
2020-02-12,45.440,44.360
2020-02-13,45.500,44.000
2020-02-14,45.300,43.640
2020-02-17,46.220,44.430
2020-02-18,46.110,44.600
2020-02-19,47.520,44.850
2020-02-20,50.150,46.950
2020-02-21,51.330,48.680
2020-02-24,51.630,49.050
2020-02-25,51.480,48.450
2020-02-26,50.120,47.010
2020-02-27,48.720,46.430
2020-02-28,49.400,46.600
2020-03-02,49.500,46.020
2020-03-03,50.600,47.320
2020-03-04,48.360,44.700
2020-03-05,47.140,44.310
2020-03-06,46.340,44.370
2020-03-09,44.910,42.250
2020-03-10,45.590,42.130
2020-03-11,45.850,43.970
2020-03-12,44.080,42.150
2020-03-13,44.440,40.110
2020-03-16,42.780,38.660
2020-03-17,39.950,35.550
2020-03-18,39.770,37.200
2020-03-19,38.080,35.630
2020-03-20,38.600,37.000
2020-03-23,36.800,34.400
2020-03-24,35.670,33.900
2020-03-25,38.950,37.150
2020-03-26,38.530,37.350
2020-03-27,38.350,36.250
2020-03-30,38.600,35.810
2020-03-31,39.120,37.640
2020-04-01,40.680,37.900
2020-04-02,42.260,38.620
2020-04-03,42.050,40.400
2020-04-07,43.000,41.530
2020-04-08,43.700,41.610
2020-04-09,42.660,41.000
2020-04-10,41.000,39.230
2020-04-13,39.630,38.150
2020-04-14,41.280,39.500
2020-04-15,42.410,40.950
2020-04-16,41.500,40.100
2020-04-17,43.200,41.810
2020-04-20,42.500,41.680
2020-04-21,42.240,40.280
2020-04-22,41.920,40.660
2020-04-23,42.200,41.370
2020-04-24,42.080,40.770
2020-04-27,42.100,40.580
2020-04-28,46.110,42.670
2020-04-29,46.180,44.800
2020-04-30,48.200,46.660
2020-05-06,47.820,46.350
2020-05-07,48.360,46.750
2020-05-08,47.980,46.510
2020-05-11,47.850,46.210
2020-05-12,47.880,45.970
2020-05-13,50.000,46.360
2020-05-14,49.700,48.360
2020-05-15,49.070,48.160
2020-05-18,46.950,45.170
2020-05-19,47.440,46.230
2020-05-20,47.500,45.860
2020-05-21,46.980,45.900
2020-05-22,45.780,44.330
2020-05-25,44.680,43.440
2020-05-26,46.460,44.580
2020-05-27,45.710,44.200
2020-05-28,44.690,43.300
2020-05-29,45.380,43.710
2020-06-01,48.540,45.800
2020-06-02,48.910,47.850
2020-06-03,52.180,48.010
2020-06-04,51.660,49.780
2020-06-05,52.260,49.750
2020-06-08,54.140,50.500
2020-06-09,52.200,50.560
2020-06-10,55.080,52.100
2020-06-11,56.500,54.060
2020-06-12,54.830,53.650
2020-06-15,55.200,53.380
2020-06-16,56.140,54.210
2020-06-17,43.620,41.720
